1	36	2	0	0								
1	53	2	59.13	494								
1	55	2	17.49	35								
1	57	2	2.11	21								
1	79	2	4.8	88								
1	85	2	2.58	89								
1	97	2	3.31	59								
1	101	2	0.09	1								
1	102	2	0.53	5								
1	105	2	8.85	179								
1	115	2	2.49	70								
1	121	2	5.65	101								
1	125	2	51.11	489								
1	129	2	6.26	98								
1	134	2	0.69	13								
1	155	2	8.82	229								
1	182	2	13.46	360								
1	190	2	11.46	411								
1	196	2	6.82	186								
1	204	2	6.23	61								
1	212	2	11.29	270								
1	214	2	7.62	184								
1	240	2	10.18	196								
1	264	2	7.21	112								
1	277	2	0	0								
1	315	2	9.4	176								
1	319	2	0.08	3								
1	323	2	0.5	10								
1	330	2	0.07	1								
1	337	2	2.64	49								
1	346	2	8.44	100								
1	350	2	9.5	111								
1	376	2	0	0								
1	435	2	18.59	397								
1	460	2	0.26	6								
1	464	2	0.04	1								
1	492	2	0.81	30								
1	503	2	3.18	68								
1	529	2	10.26	614								
1	549	2	0.47	8								
1	552	2	0.1	3								
1	557	2	1.46	25								
1	571	2	26.69	883								
1	574	2	0.46	8								
1	637	2	0.09	3								
1	644	2	2.81	55								
1	654	2	5.98	115								
1	658	2	1.96	52								
1	661	2	0.1	3								
1	667	2	4.72	218								
1	677	2	2.03	64								
1	700	2	10	143								
1	703	2	0.78	71								
1	707	2	1.87	82								
1	714	2	0.22	3								
1	719	2	5.02	119								
1	734	2	1.81	38								
1	741	2	0.15	4								
1	753	2	3.32	66								
1	758	2	0	0								
1	759	2	18.71	372								
1	870	2	0.77	25								
1	909	2	0.08	3								
1	959	2	0.31	1								
1	970	2	0	0								
1	983	2	0.95	19								
1	986	2	2.31	91								
1	1006	2	0.17	6								
1	1027	2	0.42	9								
1	1042	2	0	0								
1	1170	2	0.09	1								
1	1200	2	4.89	145								
1	1221	2	4.81	48								
1	1265	2	8	163								
1	1268	2	0.14	3								
1	1278	2	5.35	305								
1	1280	2	1.38	42								
1	1343	2	24.57	1031								
1	1412	2	0	0								
1	1437	2	0.1	2								
1	1439	2	1.61	37								
1	1462	2	0	0								
1	1477	2	0.43	13								
1	1480	2	0	0								
1	1504	2	1.77	66								
1	1506	2	1.92	42								
1	1509	2	0.12	4								
1	1528	2	0.45	9								
1	1549	2	0.7	26								
1	1552	2	5.53	112								
1	1559	2	6.04	165								
1	1562	2	0.42	8								
1	1664	5	0	171								
1	1692	5	0.0358006	37								
1	1707	5	0.0338819	49								
1	1726	5	0	141								
1	1736	5	0	4								
1	1739	5	0	84								
1	1740	5	0	43								
1	1757	5	0.0337486	34								
1	1762	5	0	16								
1	1786	5	0	2								
1	1797	3	1.09603	2875								
1	1801	3	0	28								
1	1802	3	0.224364	325								
1	1803	3	0.137619	354								
1	1811	5	0.321504	264								
1	1821	5	2.05719	1067								
1	1824	5	0.07541	80								
1	1832	3	0.198733	251								
1	1833	3	0.576892	1854								
1	1846	5	0	39								
1	1847	5	0	2								
1	1850	5	0	84								
1	1857	3	0	4								
1	1864	5	0.0103418	754								
1	1867	5	0	244								
