83	615	561	SA518760	8069103	SP108080	8069103			
84	615	1153	SA518784	8069327	SP108081	8069327		17	1-20%
85	225	562	SA518765	8069122	SP108050	8069122			
86	225	563	SA518799	8069439	SP108052	8069439			
87	225	1154	SA518764	8069120	SP108049	8069120		48	41-60%
88	2	1155	SA518755	8069085	SP108054	8069085		14	1-20%
89	2	564	SA518782	8069325	SP108055	8069325			
90	2	1156	SA518753	8069084	SP108053	8069084		14	1-20%
91	616	1157	SA518751	8069072	SP108043	8069072		16	1-20%
92	616	565	SA518780	8069324	SP108044	8069324			
93	617	566	SA518829	8069466	SP108047	8069466			
94	617	567	SA518763	8069114	SP108046	8069114			
95	617	1158	SA518761	8069108	SP108045	8069108		43	41-60%
96	226	1159	SA518853	8070202	SP108070	8070202		67	61-80%
97	226	568	SA518854	8070203	SP108071	8070203			
98	226	569	SA518856	8070204	SP108072	8070204			
99	227	570	SA518807	8069445	SP108067	8069445			
100	227	1160	SA518804	8069443	SP108065	8069443		78	61-80%
101	227	571	SA518806	8069444	SP108066	8069444			
102	618	572	SA528767	8069206	SP110829	8069206			
103	618	573	SA518809	8069447	SP108069	8069447			
104	618	1161	SA518808	8069446	SP108068	8069446		58	41-60%
105	228	2433	SA518750	8069062	SP108060	8069062			
106	228	2434	SA518783	8069326	SP108061	8069326			
107	228	1162	SA518748	8069060	SP108059	8069060		53	41-60%
108	619	2435	SA518803	8069442	SP108064	8069442			
109	619	1163	SA518766	8069156	SP108062	8069156		17	1-20%
110	620	1164	SA518801	8069440	SP108056	8069440		15	1-20%
111	620	2436	SA518802	8069441	SP108057	8069441			
112	229	2437	SA518840	8070185	SP108025	8070185			
113	229	2438	SA518838	8070184	SP108024	8070184			
114	229	1165	SA518837	8070183	SP108023	8070183		18	1-20%
115	230	2439	SA518868	8070209	SP108021	8070209			
116	230	574	SA518884	8070271	SP108022	8070271			
117	230	1166	SA518866	8070208	SP108020	8070208		43	41-60%
118	231	1167	SA518706	8067249	SP108015	8067249		32	21-40%
119	231	575	SA518619	8066963	SP108014	8066963			
120	231	576	SA518708	8067250	SP108016	8067250			
121	232	577	SA518878	8070214	SP108018	8070214			
122	232	578	SA518880	8070215	SP108019	8070215			
123	232	1168	SA518876	8070213	SP108017	8070213		54	41-60%
124	621	579	SA518779	8069323	SP108042	8069323			
125	621	580	SA528769	8069322	SP110828	8069322			
126	621	1169	SA518778	8069321	SP108041	8069321		56	41-60%
127	622	581	SA518775	8069318	SP108034	8069318			
128	622	1170	SA518739	8068976	SP108033	8068976		61	61-80%
129	622	582	SA528768	8069317	SP110826	8069317			
130	224	583	SA518864	8070207	SP108037	8070207			
131	224	584	SA518862	8070206	SP108036	8070206			
132	224	1171	SA518860	8070205	SP108035	8070205		18	1-20%
133	233	1172	SA518871	8070210	SP108027	8070210		15	1-20%
134	233	585	SA518873	8070211	SP108028	8070211			
135	233	586	SA518874	8070212	SP108029	8070212			
136	234	587	SA518845	8070189	SP108031	8070189			
137	234	1173	SA518844	8070188	SP108030	8070188		23	21-40%
138	234	588	SA518846	8070190	SP108032	8070190			
139	235	589	SA518587	8066492	SP107998	8066492			
140	235	1174	SA518585	8066491	SP107997	8066491		69	61-80%
141	623	590	SA518589	8066495	SP108000	8066495			
142	623	1175	SA518588	8066494	SP107999	8066494		40	21-40%
143	1	1176	SA518580	8066485	SP107993	8066485		24	21-40%
144	1	591	SA518581	8066486	SP107994	8066486			
145	236	1177	SA518583	8066488	SP107995	8066488		34	21-40%
146	236	592	SA518584	8066489	SP107996	8066489			
147	237	1178	SA518575	8066479	SP107989	8066479		35	21-40%
148	237	593	SA518577	8066480	SP107990	8066480			
149	624	1179	SA518578	8066482	SP107991	8066482		29	21-40%
150	624	594	SA518579	8066483	SP107992	8066483			
151	625	1180	SA518597	8066506	SP108009	8066506		19	1-20%
152	625	595	SA518598	8066507	SP108010	8066507			
153	238	1181	SA518705	8067248	SP108013	8067248		51	41-60%
