44730	ENSEMBL	ENSG00000179412	Ensembl
80795	HGNC	51333	
94003	HGNC	""	
175518	Gene Symbol	HNRNPCL4	GAF
191869	MiRBase	""	miRBase
82411	HGNC	48813	
118353	Gene Symbol	HNRNPCP5	GAF
